speaker,saying,categories
세네카,"용기는 별로 인도하고, 두려움은 죽음으로 인도한다.","['용기', '두려움']"
W.G. 베넘,애태우는 근심은 흰 머리를 만든다.,"['근심', '흰머리']"
B. 러셀,"공포는 미신 때문에 생기며, 잔인성을 유발하기도 한다.","['공포', '미신', '잔인성']"
J.M. 싱,"바다를 무서워하지 않는 사람은 머지 않아 익사할 것이다. 그러나 우리는 바다를 두려워하기 때문에, 우리는 이따금씩 익사할 뿐이다.","['바다', '인생살이', '두려움']"
G.W. 라이언,근심은 고통을 빌려가는 사람들이 지불하는 이자이다.,"['근심', '고통', '걱정']"
에픽테투스,"두려운 것은 죽음이나 고난이 아니라, 고난과 죽음에 대한 공포이다.","['공포', '고난', '죽음']"
에머슨,두려움은 언제나 무지에서 샘솟는다.,"['두려움', '무지']"
장자,"해나 달이 밝게 비추고자 해도 뜬 구름이 가리고, 강물이 맑아지고자 해도 흙이나 모래가 더럽히듯, 사람도 본성대로 허무평평하고자 해도 욕심 때문에 방해를 받는다. 오직 성인만이 외부작용을 배제하고 자기 본성으로 돌아갈 수 있는 것이다.","['인간', '본성', '욕심', '성인']"
장자,"생을 존중하는 사람은 비록 부귀해도 살기 위해 몸을 상하는 일이 없고 비록 빈천해도 사리를 위해 몸에 누를 끼치는 일이 없다. 그런데 요즈음 세상 사람들은 고관대작에 있으면 그 지위를 잃을까 걱정하고, 이권을 보면 경솔히 날뛰어 몸을 망치고 있다.","['인생살이', '몸(body)', '건강']"
몽테뉴,탐욕은 일체를 얻고자 욕심내어서 도리어 모든 것을 잃어버린다.,"['탐욕', '욕심']"
명심보감 성심편,"큰 집 천칸이 있다 해도 밤에 눕는 곳은 여덟 자뿐이요, 좋은 논밭이 만경이나 되어도 하루 먹는 것은 두 되뿐이다.","['인생', '재산', '부(wealth)']"
아리스토텔레스,재산의 수준을 높이기보다는 욕망의 수준을 낮추도록 애쓰는 편이 오히려 낫다.,"['행복', '재산', '욕망']"
소크라테스,나는 가장 적은 욕심을 가졌으므로 신에 가장 가까운 존재이다.,"['욕심', '신(god)']"
채근담,탐욕이 많은 사람은 금을 나눠주어도 옥을 얻지 못함을 한하고 공에 봉하여도 제후 못됨을 불평한다.,"['탐욕', '욕심']"
채근담,입에 맛있는 음식은 모두가 창자를 짓물게 하고 뼈를 썩게 하는 나쁜 약이다. 설컷 먹지 말고 5분쯤에 멈추면 재앙이 없느니라. 마음에 쾌한 일은 모두 몸을 망치고 덕을 잃게 하는 중매니라. 너무 탐닉하지 말고 5분쯤에 멈추면 뉘우침이 없느니라.,"['음식', '몸관리']"
아리스토텔레스,"누구든지 성을 낼 수 있다. 그것은 쉬운 일이다. 
그러나 올바른 대상에게 올바른 정도로, 올바른 시간에, 올바른 목적으로, 올바른 방식으로 성을 내는 것은 
모든 사람들이 할 수 있는 일이 아니며 쉬운 일도 아니다.","['화(Anger)', '인간관계']"
세네카,해로운 것은 숨겨진 분노이다.,"['분노', '화(Anger)']"
프리드리히 니체,분개한 사람만큼 거짓말 잘하는 사람은 없다.,"['화(Anger)', '분노', '분개', '거짓말']"
한국 속담,정승을 부러워 말고 네 몸이나 건강케 하라.,['건강']
페스탈로찌,"건강한 몸을 가진 자가 아니고서는 조국에 충실한 자가 되기 어렵고, 좋은 아버지, 좋은 아들, 좋은 이웃이 되기 어렵다.","['건강', '몸(body)']"
에머슨,건강은 제일의 재산이다.,"['건강', '재산']"
에디 부인,질병은 몸의 고장이 아니라 마음의 고장이다.,"['질병', '몸(body)', '마음']"
이디오피아 속담,병을 숨기는 자에게는 약이 없다.,"['병(sickness)', '질병']"
B. 프랭클린,"건강을 유지하는 것은 자신에 대한 의무이며, 또한 사회에 대한 의무이다.","['건강', '자기자신', '사회']"
카알라일,건강한 사람은 자기의 건강을 모른다. 병자만이 자신의 건강을 알고 있다.,['건강']
아라비아 속담,"건강한 사람은 모든 것에 희망을 걸 수 있고, 희망을 갖고 있는 사람은 모든 것을 얻을 수 있다.","['건강', '희망', '꿈(dream)', '성공']"
세르반테스,수면은 피로한 마음의 최상의 약이다.,"['수면', '잠(sleep)', '피로']"
H.G. 보운,자연과 시간과 인내는 3대 의사다.,"['자연', '시간', '인내']"
바이런,역경은 진리로 통하는 으뜸가는 길이다.,"['역경', '고난', '진리']"
E. 버크,곤란은 가혹한 스승이다.,['곤란']
J. 패트릭,고통은 인간을 생각하게 만든다. 사고는 인간을 현명하게 만든다. 지혜는 인생을 견딜 만한 것으로 만든다.,"['고통', '사고(thought)', '지혜', '인생']"
논어 위령공편,군자는 곤궁한 처지에 빠져도 마음이 흔들이지 않는다. 그러나 소인은 곤궁하게 되면 난폭한 생각을 하느니라.,"['군자', '소인', '마음']"
한국 속담,비 온 뒤에 땅이 굳어진다.,"['인생살이', '고난', '아픔']"
괴테,괴로움이 남기고 간 것을 맛보아라. 고통도 지나고 나면 달콤한 것이다.,"['괴로움', '고통']"
괴테,고난이 있을 때마다 그것이 참된 인간이 되어가는 과정임을 기억해야 한다.,"['고난', '인간']"
O. 골드스미스,방향성 식물은 성장하는 동안에는 향기를 내지 않지만 땅 위에 짓밟히고 으깨어지면 달콤한 향기를 사방에 흩날린다.,"['고난', '식물']"
지스레지,고생보다 더 중요한 교육은 없다.,"['교육', '고생']"
푸블릴리우스,고통은 천진난만한 자에게도 거짓말을 강요한다.,"['고통', '거짓말']"
톨스토이,이 세상에 죽음만큼 확실한 것은 없다. 그런데 사람들은 겨우살이 준비하면서도 죽음은 준비하지 않는다.,"['세상', '죽음', '준비']"
존 러스킨,"죽을 때를 모르는 사람은, 살 때도 모르는 사람이다.","['죽음', '삶']"
하운드,나는 죽음을 겁내지 않는다. 다만 의무를 다하지 않고 사는 것을 겁낸다.,"['죽음', '의무', '삶']"
맹자,우환에 살며 안락에 죽는다.,"['인생', '삶', '죽음']"
호라티우스,창백한 죽음은 가난한 자의 오막살이도 왕후의 궁전도 두드린다.,"['죽음', '부자', '빈자']"
엥겔스,죽을 때에 죽지 않도록 죽기 전에 죽어두어라. 그렇지 않으면 정말 죽어버린다.,['죽음']
셰익스피어,죽음이 다가오는 것을 그처럼 두려워한다는 것은 바로 생전의 사악한 생활의 증거이다.,"['죽음', '두려움', '악(evil)']"
바킬리데스,인간에게 가장 고통스러운 죽음은 그가 미리 아는 죽음이다.,"['죽음', '고통']"
두순학,"바다가 마르면 밑바닥이 나타나나, 사람은 죽어도 마음을 알지 못한다.","['마음', '죽음']"
에스킬루스,고결하게 죽는 것이 목숨을 건지는 것보다 더 좋으련만.,['죽음']
A.A. 프록터,삶은 짧지만 죽음은 결국 인생을 영원하고 신성하게 만든다.,"['인생', '죽음']"
레오나르도 다 빈치,"잘 보낸 하루가 행복한 잠을 가져오듯이, 잘 사용한 인생은 행복한 죽음을 가져온다.","['잠(sleep)', '인생', '죽음']"
함마슐트,죽음을 찾지 말라. 죽음이 당신을 찾을 것이다. 그러나 죽음을 완성으로 만드는 길을 찾으라.,['죽음']
상품,"아 벗이여, 드디어 이 세상에 안녕을 고하는구려. 내 마음은 상처투성이였고, 내 몸은 얼음처럼 식어가는구려.",['죽음']
페트라르카,훌륭한 죽음은 전 생애의 명예가 된다.,"['죽음', '명예']"
세네카,죽음이 어디서 너를 기다릴지는 불확실하다. 그러니 어디에서나 그것을 예상하라.,['죽음']
토마스 아 켐피스,죽음을 피하기보다 죄를 삼가는 것이 더 나을 것이다.,"['죽음', '죄(sin)']"
맹자,인간의 본성은 착한 것이다.,"['인간', '본성', '선(good)']"
순자,인간의 본성은 악한 것이다.,"['인간', '본성', '악(evil)']"
한국 속담,열 길 물속은 알아도 한 길 사람 마음은 모른다.,"['사람', '마음']"
명심보감,"호랑이는 그리되 뼈는 그리기 어렵고, 사람을 알되 마음은 알지 못한다.","['사람', '마음']"
한국 속담,사람과 쪽박은 있는 대로 쓴다.,"['사람', '쪽박', '쓰임새']"
한국 속담,사람 살 곳은 골골이 있다.,"['사람', '사람환경']"
한국 속담,사람은 열 번 된다.,"['사람', '인생살이']"
M. 루터,나는 자신을 발견했을 때 졸도할 뻔했다.,['자기자신']
휘필드,"사람은 절반은 짐승이요, 절반은 마귀인 것이다.","['사람', '인간']"
까뮈,인간은 반항하는 존재다.,['인간']
캘빈,"우리는 사람을 알려고 할 때, 그 사람의 손이나 발을 보지 않고 머리를 본다.",['사람평가']
M. 말쯔,인간은 목표를 추구하도록 만들어 놓는 존재다.,"['인간', '목표']"
J.W. 괴테,인간의 행실은 각자가 자기의 이미지를 보여주는 거울이다.,"['행동', '행실', '자기자신']"
채근담,"집안 사람의 허물이 있거든 마땅히 몹시 성내지 말 것이며 가볍게 여기지 말고 그 일을 말하기 어려우면 다른 일을 비유하여 은근히 깨우치라. 오늘에 깨우치지 못하거든 내일을 기다려 다시 경계하라. 봄바람이 언 것을 풀듯, 화기가 얼음을 녹이듯 하라. 이것이 바로 가정의 규범이다.","['가정', '아내', '남편', '인간관계']"
S. 스미드,안락한 가정은 행복의 근원으로 그것은 바로 건강과 착한 양심 다음의 위치를 차지한다.,"['가정', '행복']"
S. 존슨,가정에서 행복해지는 것은 온갖 염원의 궁극적인 결과이다.,"['가정', '행복', '염원']"
J.G. 홀런드,"사람은 집에 있을 때 그의 행복에 가장 가까와지고, 밖으로 나가면 그의 행복에서 가장 멀어지는 법이다.","['행복', '집(home)']"
존 하워드 페인,"쾌락과 궁궐 속을 다닐지라도, 아무리 초라해도 내 집과 같은 곳은 없다.","['가정', '집(home)']"
C.W. 엘리어트,"가정생활의 안전과 향상이 문명의 중요 목적이요, 모든 산업의 궁극적 목적이다.","['가정', '문명']"
논어 위정편,요즈음은 부모에게 물질로써 봉양함을 효도라 한다. 그러나 개나 말도 집에 두고 먹이지 않는가. 공경하는 마음이 여기에 따르지 않으면 짐승과 무엇이 다르겠는가.,"['효도', '부모', '봉양']"
정철,아버님 날 낳으시고 어머님 날 기르시니 두 분 곧 아니시면 이 몸이 살았을까. 하늘 같은 은덕을 어디다가 갚사오리.,"['부모', '효도']"
독일 격언,한 아버지는 열 아들을 기를 수 있으나 열 아들은 한 아버지를 봉양키 어렵다.,"['아버지', '아들', '효도', '봉양']"
C. 페기,아버지에게 손찌검을 하는 아들을 둔 아버지는 누구나 죄인이다. 자기에게 손찌검을 하는 아들을 만들었기 때문이다.,"['자녀교육', '아들', '아버지']"
강태공,"어버이께 효도하면 자식이 또한 효도하고, 이 몸이 이미 효도하지 못했으면 자식이 어찌 효도하리요.","['자녀교육', '효도']"
예기,"부모가 이미 세상을 떠나고 안 계시더라도, 무슨 일을 당했을 때 옳게 행동하는 것은 부모의 명예를 빛내는 것이니 힘을 주어 하게 되고, 한편으로는 나쁜 짓을 하려다가도 부모의 이름을 더럽히지 않으려고 다시 반성하여 좋지 않은 일은 하지 않는 것이다.","['부모', '명예', '인생살이']"
정철,한 몸 둘에 나눠 부부를 만드시니 있을 제 함께 늙고 죽으면 함께 간다. 어디서 망령의 것이 눈흘기려 하느뇨.,['부부']
토마스 풀러,아내를 눈으로 보고서만 택해선 안 된다. 눈보다는 귀로써 아내를 선택하라.,"['아내', '결혼']"
토마스 풀러,남편에 대한 슬픔은 팔꿈치 속의 아픔과 같이 매섭고 짧다.,"['남편', '아내', '슬픔']"
H. 스퍼전,착한 아내와 건강은 남자의 가장 훌륭한 재산이다.,"['남자', '재산', '건강', '아내']"
명심보감 부행편,"여자에게는 칭찬받을 네 가지 덕이 있으니 덕성, 용의, 말씨, 솜씨이다.",['여자']
톨스토이,"살림을 못하는 여자는 집에 있어도 행복하지 않으며, 집에서 행복하지 못한 여자는 어디를 가도 행복할 수 없다.","['여자', '살림', '행복']"
화브스타인,남편들이 보통 친구들에게 베푸는 것과 꼭 같은 정도의 예의만을 부인에게 베푼다면 결혼생활의 파탄은 훨씬 줄어들 것이다.,"['결혼생활', '남편']"
후한서,"부부된 자는 의로써 화친하고 은으로써 호합한다. 남편이 아내를 때리면 무슨 의가 있겠으며, 또 꾸짖으면 무슨 은이 있겠는가.",['부부']
논어,설사 간하여 쫓지 않으시더라도 공경해야 한다. 속으로는 애태울지언정 부모를 원망해서는 안 된다.,"['부모', '공경']"
논어,부모의 나이는 반드시 기억하고 있어야 한다. 한편으로는 오래 사신 것을 기뻐하고 또 한편으로는 나이 많은 것을 걱정해야 한다.,"['부모', '효도']"
A. 링컨,내가 성공을 했다면 오직 천사와 같은 어머니의 덕이다.,"['성공', '어머니']"
장자,"부모를 공경하는 효행은 쉬우나, 부모를 사랑하는 효행은 어렵다.","['부모', '효도', '효행']"
이이,천하의 모든 물건 중에는 내 몸보다 더 소중한 것이 없다. 그런데 이 몸은 부모가 주신 것이다.,"['몸(body)', '부모']"
장현광,내 한몸은 곧 백천만대의 선조가 전한 것을 물려 받은 것이다. 그렇다면 감히 내 몸이 곧 나만의 소유라고 말하겠는가?,"['몸(body)', '조상', '소유']"
남계예설,"우리 나라의 신분 높은 선비는 큰 문벌이 있었다고 하더라도 고려 때 이전은 자세히 알 수가 없다. 예를 들어 이씨의 본관도, 비록 호적은 다르지만 그것이 중국의 여러 성처럼 정말 다른지, 아니면 함께 한 근원에서 나온 것인지를 알겠는가?","['이씨', '성씨']"
장현광,"한 번 생각에도 선조를 생각하여 선조의 마음에 어긋남이 있는가를 염려하고, 한 번 말할 때도 선조를 생각하여 선조의 덕망에 어긋남이 있는가를 염려하며, 한 번 움직일 때도 선조를 생각하여 선조의 행한 도리에 어긋남이 있는가를 염려하며, 전전긍긍하여 항상 깊은 연못에 다다르듯, 엷은 얼음을 밟아가는듯 조심하면 선조의 남긴 교훈의 품위를 떨어뜨리지 않게 되고, 선조들도 역시 훌륭한 자손을 두었다고 이를 것이다.","['조상', '선조', '공경']"
채근담,남의 나쁜 점 꾸짖기를 너무 엄하게 하지 말라. 그 말을 받아서 감당할 수 있는가를 생각해야 한다. 남에게 착한 일 가르치기를 너무 높은 것으로써 하지 말라. 그 사람이 행할 수 있는 것으로써 해야 한다.,"['가르침', '교육']"
장자,"사람이 아는 바는 모르는 것보다 아주 적으며, 사는 시간은 살지 않는 시간에 비교가 안될 만큼 아주 짧다. 이 지극히 작은 존재가 지극히 큰 범위의 것을 다 알려고 하기 때문에, 혼란에 빠져 도를 깨닫지 못한다.","['사람', '앎', '지식', '도(道)']"
몽테스키외,조금을 알기 위해서 많이 공부해야 한다.,"['공부', '앎']"
주자,배우지 않으면 곧 늙고 쇠해진다.,"['배움', '공부', '노화']"
에머슨,책망이 칭찬보다 더 안전하다.,"['칭찬', '책망']"
D. 루즈벨트,인간을 지력으로만 교육시키고 도덕으로 교육시키지 않는다면 사회에 대하여 위험을 기르는 것이 된다.,"['교육', '도덕', '사회']"
에우리피데스,젊을 때에 배움을 소홀히 하는 자는 과거를 상실하고 미래도 없다.,"['배움', '젊음', '청년']"
소학,"사람에게는 세 가지 불행이 있다. 어린 시절에 높은 벼슬에 오름이 하나요, 부모의 세를 업고 고관이 됨이 둘이며, 뛰어난 재주가 있어 문장에 능함이 세째 불행이다.","['사람', '불행', '관직']"
로망 롤랑,언제까지 계속되는 불행이란 없다.,['불행']
칸트,"행복의 원칙은 첫째 어떤 일을 할 것, 둘째 어떤 사람을 사랑할 것, 세째 어떤 일에 희망을 가질 것이다.",['행복']
로버트 인젠솔,행복을 즐겨야 할 시간은 지금이다. 행복을 즐겨야 할 장소는 여기다.,"['행복', '지금', '현재']"
W. 블레이크,"매일 아침, 매일 밤 태어나 비참하게 되는 자 있고, 매일 아침, 매일 밤 태어나 즐거워지는 이 있다.","['불행', '행복', '인생살이']"
한국 속담,부자는 망해도 삼년 먹을 것이 있다.,['부자']
한국 속담,가난 구제는 나라도 못한다.,"['가난', '국가']"
카스레,돈은 밑없는 깊은 물속과 같다. 명예도 양심도 진리도 모두 그 속에 빠지고 만다.,"['돈(money)', '명예', '양심', '진리']"
칸트,재물은 생활을 위한 방편일 뿐 그 자체가 목적이 될 수는 없다.,"['재물', '생활']"
논어,나물 먹고 물 마시며 팔꿈치를 굽혀 베개로 삼아도 즐거움은 역시 그 가운데에 있다.,"['즐거움', '인생살이']"
논어 헌문편,"가난하며 원망하지 않기 어렵고, 부자이면서 교만하지 않기 또한 쉬운 일이 아니다.","['가난', '원망', '부자', '교만']"
에머슨,빈곤은 가난하다고 느끼는 데서 존재한다.,"['빈곤', '가난']"
주베르,"가난한 사람은 덕으로, 부자는 선으로 이름을 떨쳐라.","['빈자', '부자']"
W. 휘트먼,부자는 튼튼한 위를 가져야 한다.,['부자']
안티파테르,"빈곤은 가진 것이 거의 없다는 뜻이 아니라, 많이 가지고 있지 않다는 뜻이다.",['빈곤']
J. 플로리오,빈곤은 재앙이 아니라 불편이다.,"['빈곤', '가난']"
톨스토이,"부란 분뇨와 같아서 그것이 축적되면 악취를 내고, 산포되면 땅을 비옥하게 한다.",['부(wealth)']
소진,"부귀해지면 친척도 이것을 어려워하고, 빈천해지면 이를 업신여긴다.","['부(wealth)', '부귀', '친척']"
공자,불의로써 부하고 동시에 귀한 것은 둥둥 떠도는 구름과 같다.,"['부(wealth)', '재물', '불의']"
맹자,늘 재산이 없는 이는 늘 마음이 없다.,"['재산', '마음']"
박제가,재물은 우물과 같다. 퍼 쓸수록 자꾸 가득차고 이용하지 않으면 말라 버린다.,['재물']
토마스 칼라일,사람은 일하기 위해서 창조되었다. 명상하고 느끼며 꿈꾸기 위해서만은 아니다.,"['사람', '일(work)']"
베르길리우스,노동은 모든 것을 정복한다.,['노동']
탈무드,"자기 아이에게 육체적인 노동을 가르치지 않는 것은 그에게 약탈, 강도 같은 것을 가르치는 것과 마찬가지이다.","['자녀교육', '아이(child)', '노동']"
고리키,일이 즐겁다면 인생은 극락이다. 괴로움이라면 그것은 지옥이다.,"['일(work)', '직업']"
W.NL. 영안,"노동은 생활의 꽃이요, 삶의 보람이요, 마음의 기쁨이다.","['노동', '일(work)']"
헤이우드,굴러가는 돌에는 이끼가 끼지 않는다.,['행동']
벤자민 프랭클린,백년을 살 것같이 일하고 내일 죽을 것같이 기도하라.,"['인생', '일(work)', '기도']"
라 로시푸코,육체적 노동은 정신적 고통을 해방시킨다. 그러므로 가난한 사람이 행복해진다.,"['노동', '행복', '가난', '빈자']"
웨벨,수면은 노동하지 않아도 신이 우리들에게 주신 유일한 선물이다. 그러나 노동한다면 그것은 두 배나 달콤하게 된다.,"['수면', '노동', '신(god)']"
올리버 골드스미스,세상에서 제일 즐겁고 훌륭한 일은 한 생애를 통해 일관된 일을 가지는 일이다.,"['직업', '일(work)']"
맹자,"하늘의 시는 땅의 이와 같지 않고, 땅의 이는 사람의 화와 같지 않다.","['하늘', '땅(land)', '사람', '화합']"
채근담,천지의 기운은 따뜻하면 낳아서 기르고 차면 시들어 죽게 한다. 그러므로 성질이 차가운 사람은 받아서 누리는 것도 또한 박할 것이니 오직 화기있고 마음이 따뜻한 사람이라야 그 복이 두터우며 그 은택이 또한 오래가는 것이다.,"['마음', '사람', '성질', '인생살이']"
한국 속담,마음이 맞으면 부처도 부러워한다.,"['마음', '화합']"
한국 속담,마음이 맞으면 삶은 도토리 한 알을 가지고도 허기를 면할 수 있다.,"['화합', '인생살이', '마음', '허기', '배고픔']"
한국 속담,백지장도 맞들면 낫다.,['협동']
한국 속담,집안이 화합하려면 베개 밑 송사는 듣지 않아야 한다.,"['가정', '화합', '송사']"
허버트,벌들은 협동하지 않고는 아무것도 얻지 못한다. 사람도 마찬가지다.,"['협동', '벌(bee)']"
W. NL. 영안,합한 두 사람은 흩어진 열 사람보다 낫다.,"['협력', '화합']"
한국 속담,개미 천 마리가 모이면 맷돌도 든다.,"['협동', '협력', '단결', '개미']"
R. 애스컴,"거짓말을 하지 말라. 부정직하기 때문이다. 모든 진실을 다 이야기하지 말라. 불필요하기 때문이다. 그렇다, 때와 장소에 따라서는 유해한 거짓말이 진실보다 좋을 때가 있다.","['거짓말', '진실']"
스위프트,하나의 거짓을 관철하기 위해서 우리는 또 다른 거짓말을 발견해야 한다.,['거짓말']
까뮈,진실은 빛과 같이 눈을 어둡게 한다. 거짓은 반대로 아름다운 저녁 노을처럼 모든 것을 멋지게 보이게 한다.,"['진실', '거짓']"
J. 릴리,정직을 잃은 자는 더 이상 잃을 것이 없다.,['정직']
W. 헤즐리트,"정직한 사람은 모욕을 주는 결과가 되더라도 진실을 말하며, 잘난 체하는 자는 모욕을 주기 위해서 진실을 말한다.","['정직', '모욕', '진실']"
존 러스킨,너의 정직은 종교나 정책에 기초해서는 안된다. 너의 종교와 정책이 정직에 기초해야 한다.,"['정직', '종교', '정책']"
J. 레이놀즈,"큰 재주를 가졌다면 근면은 그 재주를 더 낫게 해줄 것이며, 보통의 능력밖에 없다면 근면은 부족함을 보충해 줄 것이다.","['근면', '능력', '재주']"
소학,"사람은 부지런하면 생각하고, 생각하면 착한 마음이 일어나는데, 놀면 음탕하고, 음탕하면 착함을 잊으며, 착함을 잊으면 악한 마음이 생긴다.","['근면', '마음', '선(good)', '악(evil)']"
힐티,미래는 일하는 사람의 것이다. 권력과 명예도 일하는 사람에게 주어진다. 게으름뱅이의 손에 누가 권력이나 명예를 안겨줄까?,"['권력', '명예', '일(work)', '미래']"
B. 프랭클린,백권의 책에 쓰인 말보다 한 가지 성실한 마음이 더 크게 사람을 움직인다.,"['마음', '책(book)']"
공자,무례한 사람의 행위는 내 행실을 바로 잡게 해주는 스승이다.,"['무례함', '행실', '스승']"
명심보감,"군자가 예절이 없으면 역적이 되고, 소인이 예절이 없으면 도적이 된다.","['예절', '군자', '소인']"
B. 프랭클린,손윗사람에게 겸손하고 동등한 사람에게는 예절 바르며 아랫사람에게는 고결해야 한다.,"['인생살이', '인간관계']"
한국 속담,맛 없는 국이 뜨겁기만 하다.,"['사람', '교양', '인격', '교만', '천박함']"
J. 버넌,"쓰러진 자 망할까 두렵지 않고, 낮춘 자 거만할까 두렵지 않다.","['인생살이', '거만']"
논어,예의는 남과 화목함을 으뜸으로 삼는다.,"['예의', '화목함']"
에머슨,"겸손한 자만이 다스릴 것이요, 애써 일하는 자만이 가질 것이다.","['겸손', '통치', '일(work)']"
T. 풀러,산이 높을수록 골은 낮다.,"['산(mountain)', '골짜기']"
O. 메러디드,우선 겸손을 배우려 하지 않는 자는 아무것도 배우지 못한다.,"['겸손', '배움']"
